year,month,weather,cost
2010,january,good,100
2010,february,good,200
2010,march,good,400
2010,april ,good,3000
2010,may,good,1000
2010,june ,good,500
2010,july ,good,200
2010,august ,good,1000
2010,september,good,400
2010,october ,good,200
2010,november,good,400
2010,december,good,200
2010,january,bad,200
2010,february,bad,400
2010,march,bad,800
2010,april ,bad,6400
2010,may,bad,2000
2010,june ,bad,1000
2010,july ,bad,400
2010,august ,bad,2000
2010,september,bad,800
2010,october ,bad,400
2010,november,bad,800
2010,december,bad,400
2010,january,good,200
2010,january,bad,300
2010,january,good,100
2010,february,good,200
2010,february,bad,400
2010,february,good,200
2010,february,bad,500
2010,january,bad,200
2010,march,good,300
2010,march,good,300
2010,march,bad,800
2010,march,bad,900
2010,april ,bad,6200
2010,april ,bad,6400
2010,april ,good,2800
2010,april ,good,2790
2010,may,bad,2200
2010,may,bad,2400
2010,may,good,800
2010,may,good,600
2010,june ,bad,1000
2010,june ,bad,1000
2010,june ,good,500
2010,june ,good,600
2010,july ,bad,400
2010,july ,bad,500
2010,july ,good,300
2010,july ,good,200
2010,august ,bad,2200
2010,august ,bad,2200
2010,august ,good,1000
2010,august ,good,900
2010,september,good,300
2010,september,good,400
2010,september,bad,900
2010,september,bad,1000
2010,october ,good,100
2010,october ,good,200
2010,october ,bad,400
2010,october ,bad,500
2010,november,bad,900
2010,november,bad,1000
2010,november,good,300
2010,november,good,400
2010,december,bad,400
2010,december,bad,500
2010,december,good,100
2010,december,good,200
2010,january,good,100
2010,january,good,100
2010,january,bad,400
2010,january,bad,400
2010,february,bad,600
2010,february,bad,700
2010,february,good,100
2010,february,good,100
2010,march,good,200
2010,march,good,100
2010,march,bad,1000
2010,march,bad,1000
2010,april ,bad,6400
2010,april ,bad,6400
2010,april ,good,2000
2010,april ,good,1000
2010,may,bad,3000
2010,may,bad,2800
2010,may,good,800
2010,may,good,900
2010,june ,bad,1000
2010,june ,bad,1600
2010,june ,good,300
2010,june ,good,200
2010,july ,bad,800
2010,july ,bad,1000
2010,july ,good,100
2010,july ,good,100
2010,august ,bad,2790
2010,august ,bad,3000
2010,august ,good,500
2010,august ,good,300
2010,september,good,200
2010,september,good,200
2010,september,bad,1000
2010,september,bad,1000
2010,october ,good,200
2010,october ,good,100
2010,october ,bad,800
2010,october ,bad,700
2010,november,bad,1000
2010,november,bad,1600
2010,november,good,200
2010,november,good,100
2010,december,bad,600
2010,december,bad,800
2010,december,good,200
2010,december,good,100
2010,january,good,100
2010,february,bad,500
2010,march,good,400
2010,april ,bad,5600
2010,may,good,900
2010,june ,bad,1000
2010,july ,good,200
2010,august ,bad,2200
2010,september,good,400
2010,october ,bad,400
2010,november,good,300
2010,december,bad,400
2010,january,good,100
2010,january,good,100
2010,january,good,100
2010,january,good,200
2010,january,good,200
2010,january,good,200
2010,february,good,200
2010,february,good,200
2010,february,good,200
2010,february,good,300
2010,february,good,300
2010,february,good,300
2010,march,good,400
2010,march,good,400
2010,march,good,400
2010,march,good,400
2010,march,good,500
2010,march,good,500
2010,april ,good,3000
2010,april ,good,3050
2010,april ,good,3000
2010,april ,good,3030
2010,april ,good,2800
2010,april ,good,2800
2010,may,good,1000
2010,may,good,1000
2010,may,good,1000
2010,may,good,800
2010,may,good,900
2010,may,good,800
2010,june ,good,500
2010,june ,good,500
2010,june ,good,500
2010,june ,good,400
2010,june ,good,400
2010,june ,good,400
2010,july ,good,200
2010,july ,good,200
2010,july ,good,200
2010,july ,good,200
2010,july ,good,200
2010,july ,good,100
2010,august ,good,1000
2010,august ,good,1000
2010,august ,good,900
2010,august ,good,900
2010,august ,good,800
2010,august ,good,800
2010,september,good,400
2010,september,good,400
2010,september,good,400
2010,september,good,400
2010,september,good,300
2010,september,good,300
2010,october ,good,200
2010,october ,good,200
2010,october ,good,200
2010,october ,good,200
2010,october ,good,200
2010,october ,good,100
2010,november,good,400
2010,november,good,400
2010,november,good,400
2010,november,good,400
2010,november,good,300
2010,november,good,300
2010,december,good,200
2010,december,good,200
2010,december,good,200
2010,december,good,100
2010,december,good,100
2010,december,good,100
2010,january,bad,200
2010,january,bad,200
2010,january,bad,200
2010,january,bad,200
2010,january,bad,300
2010,january,bad,300
2010,february,bad,400
2010,february,bad,400
2010,february,bad,400
2010,february,bad,400
2010,february,bad,500
2010,february,bad,500
2010,march,bad,800
2010,march,bad,800
2010,march,bad,800
2010,march,bad,900
2010,march,bad,900
2010,march,bad,900
2010,april ,bad,6200
2010,april ,bad,5800
2010,april ,bad,6200
2010,april ,bad,6200
2010,april ,bad,6400
2010,april ,bad,6600
2010,may,bad,2000
2010,may,bad,2000
2010,may,bad,2200
2010,may,bad,2200
2010,may,bad,1800
2010,may,bad,2000
2010,june ,bad,1000
2010,june ,bad,1200
2010,june ,bad,1000
2010,june ,bad,1200
2010,june ,bad,1400
2010,june ,bad,1200
2010,july ,bad,400
2010,july ,bad,400
2010,july ,bad,500
2010,july ,bad,500
2010,july ,bad,400
2010,july ,bad,500
2010,august ,bad,2000
2010,august ,bad,2000
2010,august ,bad,2200
2010,august ,bad,1800
2010,august ,bad,2200
2010,august ,bad,1800
2010,september,bad,800
2010,september,bad,800
2010,september,bad,900
2010,september,bad,1000
2010,september,bad,900
2010,september,bad,1000
2010,october ,bad,400
2010,october ,bad,400
2010,october ,bad,400
2010,october ,bad,400
2010,october ,bad,400
2010,october ,bad,500
2010,november,bad,800
2010,november,bad,800
2010,november,bad,800
2010,november,bad,800
2010,november,bad,800
2010,november,bad,800
2010,december,bad,400
2010,december,bad,400
2010,december,bad,400
2010,december,bad,500
2010,december,bad,500
2010,december,bad,500
2010,january,good,100
2010,february,good,200
2010,march,good,400
2010,april ,good,3000
2010,may,good,1000
2010,june ,good,500
2010,july ,good,200
2010,august ,good,1000
2010,september,good,400
2010,october ,good,200
2010,november,good,400
2010,december,good,200
2010,january,bad,200
2010,february,bad,400
2010,march,bad,800
2010,april ,bad,6400
2010,may,bad,2000
2010,june ,bad,1000
2010,july ,bad,400
2010,august ,bad,2000
2010,september,bad,800
2010,october ,bad,400
2010,november,bad,800
2010,december,bad,400
2010,january,good,200
2010,january,bad,300
2010,january,good,100
2010,february,good,100
2010,february,bad,400
2010,february,good,200
2010,february,bad,500
2010,january,bad,200
2010,march,good,300
2010,march,good,300
2010,march,bad,800
2010,march,bad,900
2010,april ,bad,6200
2010,april ,bad,6400
2010,april ,good,2800
2010,april ,good,2790
2010,may,bad,2200
2010,may,bad,2400
2010,may,good,800
2010,may,good,600
2010,june ,bad,1000
2010,june ,bad,1000
2010,june ,good,550
2010,june ,good,600
2010,july ,bad,400
2010,july ,bad,500
2010,july ,good,300
2010,july ,good,200
2010,august ,bad,2000
2010,august ,bad,2200
2010,august ,good,1200
2010,august ,good,900
2010,september,good,300
2010,september,good,400
2010,september,bad,900
2010,september,bad,1000
2010,october ,good,100
2010,october ,good,200
2010,october ,bad,400
2010,october ,bad,500
2010,november,bad,900
2010,november,bad,1000
2010,november,good,300
2010,november,good,400
2010,december,bad,400
2010,december,bad,500
2010,december,good,100
2010,december,good,200
2010,january,good,100
2010,january,good,100
2010,january,bad,400
2010,january,bad,400
2010,february,bad,600
2010,february,bad,700
2010,february,good,100
2010,february,good,100
2010,march,good,200
2010,march,good,100
2010,march,bad,1000
2010,march,bad,1000
2010,april ,bad,6400
2010,april ,bad,7000
2010,april ,good,2000
2010,april ,good,1000
2010,may,bad,3000
2010,may,bad,2800
2010,may,good,800
2010,may,good,900
2010,june ,bad,1400
2010,june ,bad,1600
2010,june ,good,300
2010,june ,good,200
2010,july ,bad,800
2010,july ,bad,1000
2010,july ,good,100
2010,july ,good,100
2010,august ,bad,2400
2010,august ,bad,3000
2010,august ,good,500
2010,august ,good,300
2010,september,good,200
2010,september,good,200
2010,september,bad,1000
2010,september,bad,1200
2010,october ,good,200
2010,october ,good,100
2010,october ,bad,800
2010,october ,bad,700
2010,november,bad,1000
2010,november,bad,1600
2010,november,good,200
2010,november,good,200
2010,december,bad,600
2010,december,bad,800
2010,december,good,100
2010,december,good,100
2010,january,good,100
2010,february,bad,500
2010,march,good,400
2010,april ,bad,5600
2010,may,good,900
2010,june ,bad,1000
2010,july ,good,200
2010,august ,bad,2000
2010,september,good,400
2010,october ,bad,400
2010,november,good,300
2010,december,bad,400
2010,january,good,100
2010,january,good,100
2010,january,good,100
2010,january,good,200
2010,january,good,200
2010,january,good,200
2010,february,good,200
2010,february,good,200
2010,february,good,200
2010,february,good,300
2010,february,good,300
2010,february,good,300
2010,march,good,400
2010,march,good,400
2010,march,good,400
2010,march,good,400
2010,march,good,500
2010,march,good,500
2010,april ,good,3000
2010,april ,good,3050
2010,april ,good,3000
2010,april ,good,3030
2010,april ,good,3000
2010,april ,good,2800
2010,may,good,1000
2010,may,good,1000
2010,may,good,1000
2010,may,good,800
2010,may,good,900
2010,may,good,800
2010,june ,good,500
2010,june ,good,500
2010,june ,good,500
2010,june ,good,400
2010,june ,good,400
2010,june ,good,400
2010,july ,good,200
2010,july ,good,200
2010,july ,good,200
2010,july ,good,200
2010,july ,good,200
2010,july ,good,100
2010,august ,good,1000
2010,august ,good,1000
2010,august ,good,900
2010,august ,good,900
2010,august ,good,800
2010,august ,good,800
2010,september,good,400
2010,september,good,400
2010,september,good,400
2010,september,good,400
2010,september,good,300
2010,september,good,300
2010,october ,good,200
2010,october ,good,200
2010,october ,good,200
2010,october ,good,200
2010,october ,good,200
2010,october ,good,100
2010,november,good,400
2010,november,good,400
2010,november,good,400
2010,november,good,400
2010,november,good,300
2010,november,good,300
2010,december,good,200
2010,december,good,200
2010,december,good,200
2010,december,good,100
2010,december,good,100
2010,december,good,100
2010,january,bad,200
2010,january,bad,200
2010,january,bad,200
2010,january,bad,200
2010,january,bad,300
2010,january,bad,300
2010,february,bad,400
2010,february,bad,400
2010,february,bad,400
2010,february,bad,400
2010,february,bad,500
2010,february,bad,500
2010,march,bad,800
2010,march,bad,800
2010,march,bad,800
2010,march,bad,900
2010,march,bad,900
2010,march,bad,900
2010,april ,bad,6200
2010,april ,bad,5800
2010,april ,bad,6200
2010,april ,bad,6300
2010,april ,bad,6300
2010,april ,bad,6500
2010,may,bad,2000
2010,may,bad,2210
2010,may,bad,2200
2010,may,bad,2300
2010,may,bad,1900
2010,may,bad,2000
2010,june ,bad,1000
2010,june ,bad,1200
2010,june ,bad,1000
2010,june ,bad,1200
2010,june ,bad,1000
2010,june ,bad,1200
2010,july ,bad,400
2010,july ,bad,400
2010,july ,bad,500
2010,july ,bad,500
2010,july ,bad,400
2010,july ,bad,500
2010,august ,bad,2000
2010,august ,bad,2000
2010,august ,bad,2200
2010,august ,bad,1900
2010,august ,bad,2210
2010,august ,bad,1800
2010,september,bad,800
2010,september,bad,800
2010,september,bad,900
2010,september,bad,1000
2010,september,bad,900
2010,september,bad,1000
2010,october ,bad,400
2010,october ,bad,400
2010,october ,bad,400
2010,october ,bad,400
2010,october ,bad,400
2010,october ,bad,500
2010,november,bad,800
2010,november,bad,800
2010,november,bad,800
2010,november,bad,800
2010,november,bad,800
2010,november,bad,800
2010,december,bad,400
2010,december,bad,400
2010,december,bad,400
2010,december,bad,500
2010,december,bad,500
2010,december,bad,500
2010,january,bad,200
2010,february,bad,400
2010,march,bad,800
2010,april ,bad,6400
2010,may,bad,2000
2010,june ,bad,1000
2010,july ,bad,400
2010,august ,bad,2000
2010,september,bad,800
2010,october ,bad,400
2010,november,bad,800
2010,december,bad,400
2010,january,good,100
2010,april ,bad,7000
2010,april ,bad,7000
2010,december,bad,550
2010,april ,bad,5800
2010,april ,bad,6200
2010,april ,bad,6300
2010,april ,bad,6500
2010,april ,bad,6600
2010,april ,bad,6600
2010,august ,good,1600
2010,june ,bad,2300
2010,april ,bad,6600
2011,january,good,110
2011,february,good,210
2011,march,good,410
2011,april ,good,3010
2011,may,good,1010
2011,june ,good,510
2011,july ,good,210
2011,august ,good,1010
2011,september,good,410
2011,october ,good,210
2011,november,good,410
2011,december,good,210
2011,january,bad,210
2011,february,bad,410
2011,march,bad,810
2011,april ,bad,6010
2011,may,bad,2010
2011,june ,bad,1010
2011,july ,bad,410
